year	passives	actives	pasrate
1810	114	7861	0.014294670846394984
1811	108	7588	0.014033264033264034
1812	289	15447	0.018365531265887136
1813	27	1397	0.018960674157303372
1814	135	6107	0.02162768343479654
1815	1150	28538	0.03873618970627863
1816	779	7827	0.09051824308621892
1817	3712	35044	0.09577871813396635
1818	477	10809	0.04226475279106858
1819	587	22616	0.025298452786277636
1820	2084	24589	0.07813144378210175
1821	2217	24772	0.08214457742043055
1822	4160	61710	0.0631546986488538
1823	6921	124063	0.05283851462774079
1824	5923	69104	0.07894491316459408
1825	2160	25598	0.07781540456805246
1826	3162	39147	0.07473587180032618
1827	13441	154026	0.08026058865328692
1828	4839	53599	0.08280570861425784
1829	5937	60712	0.0890786058305451
1830	4804	67024	0.06688199587904438
1831	5161	60910	0.07811293911095639
1832	9010	112726	0.07401261746730631
1833	9689	114612	0.07794788457051834
1834	10002	125866	0.07361556805134395
1835	18128	265744	0.06385976778266261
1836	9725	124688	0.07235163265457954
1837	7614	90366	0.0777097366809553
1838	7775	107889	0.0672205699266842
1839	14223	206643	0.06439651191220015
1840	5486	88648	0.05827862408906453
1841	7791	84781	0.08416151752149678
1842	6700	87052	0.07146514207696902
1843	11421	154006	0.06903951591940856
1844	12560	151649	0.07648789043231491
1845	15337	209142	0.06832264933468164
1846	11038	165483	0.06253080370040959
1847	10877	168013	0.06080272793336687
1848	13350	196468	0.0636265716001487
1849	14947	207597	0.06716424617154361
1860	9292	174749	0.05048874978944909
1861	8228	126429	0.06110339603585406
1862	7641	131882	0.054765164166481514
1863	10781	152195	0.06615084429609268
1864	14150	187903	0.07003113044597209
1865	7536	109980	0.064127437965894
1866	10018	169226	0.05589029479368905
1867	11099	176939	0.05902530339612206
1868	12130	196292	0.05819923040753855
1869	15632	232735	0.06293911832087194
1870	8761	157968	0.05254634766597292
1871	11420	195893	0.055085788156073186
1872	9023	150325	0.056624494816376734
1873	16419	268347	0.05765786645877668
1874	12559	189864	0.062043344876817355
1875	15359	261532	0.05546948077041146
1876	12756	192233	0.06222772929279132
1877	9465	147571	0.06027280368832624
1878	6935	93782	0.06885630032665786
1879	11071	194302	0.053906793979734434
1880	13659	217208	0.059163934213205004
1881	9718	131902	0.06862025137692417
1882	12565	162802	0.0716497402589997
1883	11265	195138	0.05457769509164111
1884	13285	213266	0.05864021787588666
1885	11224	198516	0.05351387432058739
1886	11927	231142	0.049068371532363236
1887	15761	217153	0.06766875327374053
1888	12265	209940	0.05519677775027565
1889	15196	221450	0.06421405812901972
1890	10903	159448	0.0640031464446936
1891	14960	187019	0.0740671059862659
1892	11992	184566	0.061009981786546465
1893	10501	177099	0.05597547974413646
1894	12750	248504	0.048803080526996716
1895	9292	145436	0.06005377178015615
1896	18163	292226	0.058516893317739994
1897	15817	224610	0.06578712041492844
1898	12452	192648	0.060711847879083375
1899	13118	202638	0.06080016314725894
1900	16890	287355	0.055514470246018834
1901	8975	135180	0.06225937359092643
1902	12542	234118	0.05084732019784319
1903	10867	146942	0.06886172525014417
1904	12467	178480	0.06529036853158206
1905	14833	241174	0.05793982195799333
1906	13735	205508	0.06264738212850582
1907	14860	250301	0.056041423889636864
1908	12257	201794	0.05726205437022018
1909	20117	370762	0.05146605471258369
1910	13941	219353	0.05975721621644792
1911	15982	285587	0.05299616339875783
1912	14314	260385	0.05210794360372626
1913	14495	247705	0.05528222730739893
1914	15631	279806	0.05290806500201396
1915	13527	214122	0.05942042354677596
1916	12041	203637	0.05582859633342297
1917	14288	300935	0.045326641774236016
1918	8866	172965	0.04875956245084721
1919	12206	236325	0.04911258555270771
1920	21349	489865	0.0417613758621634
1921	22807	548547	0.03991745922842931
1922	26054	607337	0.04113414936429473
1923	12111	161517	0.0697525744695556
1924	10816	136612	0.07336462544428467
1925	12472	190115	0.061563673878383116
1926	9749	107763	0.08296174007760909
1927	11398	135784	0.07744153497030887
1928	15883	198509	0.07408392104182993
1929	14354	176778	0.07509993093778122
1930	14117	241916	0.05513742369147727
1931	17438	307517	0.0536628148512871
1932	15892	297144	0.05076732388607061
1933	15640	269735	0.054805081033727554
1934	13398	242952	0.05226448215330603
1935	14003	262242	0.05069051023547937
1936	13697	258350	0.050347917823023225
1937	15915	289363	0.052132810094405756
1938	15825	256521	0.058106232513053246
1939	15168	275500	0.05218324686584006
1940	15922	264508	0.056777092322504726
1941	16588	310670	0.05068783650819843
1942	16119	271905	0.05596408632613949
1943	15019	269468	0.05279327350634651
1944	10729	229712	0.0446221734230019
1945	13188	270589	0.04647311092865172
1946	16333	299606	0.05169668828476383
1947	13486	260920	0.04914615569630402
1948	13662	263027	0.04937673705857479
1949	14126	290756	0.04633267952847331
1950	16832	287791	0.05525518427695873
1951	13811	285114	0.046202224638287194
1952	13593	290984	0.04462910856696336
1953	12137	269296	0.04312571731104739
1954	13647	255746	0.0506583318794475
1955	12662	276342	0.04381254238695658
1956	16108	278188	0.05473400929676244
1957	12325	248959	0.047170894505595445
1958	13709	307222	0.04271634712757571
1959	13313	271171	0.046797007916086666
1960	13037	301756	0.041414516841225824
1961	13155	271693	0.04618252541706454
1962	15282	320280	0.045541509467698964
1963	13260	257833	0.0489131036212665
1964	11288	235339	0.04576952239616911
1965	11967	259604	0.04406582440687702
1966	13113	263854	0.047344990558441984
1967	15779	307927	0.048744848720752784
1968	12107	256329	0.045101998241666545
1969	13992	260830	0.05091295456695607
1970	15657	311441	0.04786638866639356
1971	14829	293787	0.04805000388832724
1972	13793	275750	0.04763713852519315
1973	12392	284559	0.04173079060181646
1974	10945	241472	0.04336078790255807
1975	12763	261146	0.04659576720735719
1976	12637	288511	0.04196275585426435
1977	12769	280721	0.04350744488738969
1978	10529	244501	0.04128533897972787
1979	11067	264379	0.04017847418368755
1980	12927	298058	0.04156792128237696
1981	13903	318862	0.041780235301188524
1982	12007	281845	0.040860705389107445
1983	12992	275210	0.04507949285570537
1984	12831	286804	0.04282210022193669
1985	12453	285599	0.041781299907398706
1986	10209	281938	0.03494473672500488
1987	14097	330077	0.040958933562674694
1988	11852	285875	0.03980828074040984
1989	11843	286926	0.03963932000977344
1990	7799	170659	0.043702159611785404
1991	7029	167044	0.04037961085291803
1992	9353	231936	0.03876264562412708
1993	22021	695269	0.030700274644843786
1994	10071	286854	0.03391765597373074
1995	13198	350314	0.03630691696560224
1996	11782	285844	0.039586595257134795
1997	12536	316404	0.03811029367057822
1998	12785	360479	0.03425189678083072
1999	13865	427607	0.03140629530298637
2000	12733	357844	0.03435993059472121
