id	startnum	endnum	textname	author	genre	year	IO	DO	To	Order	isIdiom	IOAnim	DOAnim	IODef	DODef	LengthDiff	IONum	DONum
8708	2036	2045	Emancipation of Europe		FIC	1815	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	0	Singular	Singular
8860	21044	21055	The Orphans		FIC	1818	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Definite	1	Singular	Singular
553119	4392	4410	A Bill to establish an uniform system of Bankruptcy throughout the United States		MAG	1818	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
748073	8530	8560	"Remarks on the present state of currency, credit, commerce, and national industry : in reply to an address of the Tammany Society of New-York"	Oliver Wolcott	NF	1820	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	1	Plural	Singular
747651	143915	143945	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	2	Singular	Singular
747573	34613	34761	"Female Scripture Biographies, Volume I"	Francis Augustus Cox	NF	1817	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	-1	Singular	Singular
552879	817	834	Abuses of Political Discussion		MAG	1817	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
8872	2431	2490	The Miser		FIC	1812	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
8872	2842	2860	The Miser		FIC	1812	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
553165	5742	5817	"Women, or Pour et Contre"		MAG	1818	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-2	Singular	Singular
8551	30652	30663	Marmion		FIC	1812	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	-1	Plural	Singular
756262	51318	51342	A Series of Letters in Defence of Divine Revelation	"Ballou, Hosea, 1771-1852"	NF	1820	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	2	Plural	Singular
553119	1606	1645	A Bill to establish an uniform system of Bankruptcy throughout the United States		MAG	1818	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	13	Plural	Singular
747651	106974	107012	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
747562	50687	50718	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	-3	Singular	Singular
8679	2780	2802	The Battle of New Orleans		FIC	1815	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Indefinite	Definite	1	Singular	Singular
8649	1265	1361	The American Captive		FIC	1812	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Definite	1	Singular	Singular
553171	857	887	Health of Literary Men		MAG	1818	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
756262	864	881	A Series of Letters in Defence of Divine Revelation	"Ballou, Hosea, 1771-1852"	NF	1820	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	-3	Singular	Singular
7631	1898	1949	The ladies monitor		FIC	1818	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
8694	29508	29529	Gordian Knot		FIC	1810	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	0	Singular	Singular
756262	70615	70659	A Series of Letters in Defence of Divine Revelation	"Ballou, Hosea, 1771-1852"	NF	1820	Noun	Noun	To	AccDat	0	Animate	Inanimate	Indefinite	Indefinite	2	Singular	Plural
747651	15971	16006	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-5	Plural	Singular
8815	17152	17206	Brutus		FIC	1819	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Indefinite	0	Plural	Singular
8551	40403	40432	Marmion		FIC	1812	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
8009	34073	34158	The battle of Niagara		FIC	1819	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	-2	Plural	Singular
8719	11316	11327	Fashionable Follies		FIC	1815	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Definite	-1	Singular	Singular
747651	144285	144306	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
553119	4151	4209	A Bill to establish an uniform system of Bankruptcy throughout the United States		MAG	1818	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Definite	-13	Plural	Singular
747651	1534	1569	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-15	Plural	Singular
8987	10311	10328	Modern Honor		FIC	1812	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	-2	Singular	Singular
8637	21924	21941	The Africans		FIC	1811	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Indefinite	Definite	4	Singular	Singular
553119	27	49	A Bill to establish an uniform system of Bankruptcy throughout the United States		MAG	1818	Noun	Noun	To	AccDat	1	Inanimate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
7631	20307	20457	The ladies monitor		FIC	1818	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	2	Singular	Singular
8652	17496	17525	"Alexis, the Czarewitz"		FIC	1812	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	0	Singular	Singular
8694	1731	1791	Gordian Knot		FIC	1810	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-16	Plural	Singular
8860	13264	13292	The Orphans		FIC	1818	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	2	Singular	Singular
552651	13067	13118	"Journal of a Cruise to the Pacifick Ocean, by Captain David Porter"		MAG	1815	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Definite	0	Singular	Singular
552807	1848	1892	Fine Arts		MAG	1816	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	1	Plural	Singular
9004	8483	8524	Altorf		FIC	1819	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Definite	0	Plural	Singular
747562	23771	23833	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Noun	Noun	To	AccDat	0	Animate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
8563	7874	7900	The Tooth-Ache		FIC	1814	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
553119	5827	5833	A Bill to establish an uniform system of Bankruptcy throughout the United States		MAG	1818	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
747659	37213	37256	War inconsistent with the religion of Jesus Christ	David Low Dodge	NF	1815	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-6	Singular	Singular
7631	19585	19655	The ladies monitor		FIC	1818	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	0	Singular	Plural
747562	70750	70827	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-4	Singular	Singular
747651	173204	173249	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Definite	10	Singular	Singular
553165	5253	5280	"Women, or Pour et Contre"		MAG	1818	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
552651	758	792	"Journal of a Cruise to the Pacifick Ocean, by Captain David Porter"		MAG	1815	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-5	Singular	Singular
8872	13587	13600	The Miser		FIC	1812	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Definite	0	Singular	Singular
553165	7590	7619	"Women, or Pour et Contre"		MAG	1818	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	-11	Singular	Singular
8649	9493	9526	The American Captive		FIC	1812	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
8988	9334	9340	The Triumph of Liberty		FIC	1819	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
747659	36853	36955	War inconsistent with the religion of Jesus Christ	David Low Dodge	NF	1815	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	-6	Singular	Singular
8717	1377	1395	The Yankey in England		FIC	1815	Noun	Noun	To	AccDat	1	Inanimate	Inanimate	Definite	Indefinite	-4	Singular	Singular
8694	15893	15925	Gordian Knot		FIC	1810	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	-1	Singular	Singular
8563	4456	4464	The Tooth-Ache		FIC	1814	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Definite	2	Singular	Singular
8861	21991	22046	The Young Carolinians		FIC	1818	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Indefinite	Indefinite	0	Singular	Singular
8708	6878	6898	Emancipation of Europe		FIC	1815	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
747651	158587	158636	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	1	Singular	Singular
8551	3224	3247	Marmion		FIC	1812	Noun	Noun	To	AccDat	1	Inanimate	Inanimate	Definite	Indefinite	-3	Plural	Singular
747562	65047	65101	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Indefinite	-9	Plural	Singular
747562	80751	80761	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	0	Singular	Singular
8563	5030	5097	The Tooth-Ache		FIC	1814	Noun	Noun	To	AccDat	0	Animate	Inanimate	Definite	Definite	4	Singular	Singular
8872	5023	5051	The Miser		FIC	1812	Noun	Noun	To	AccDat	0	Animate	Inanimate	Indefinite	Indefinite	4	Singular	Singular
747562	70348	70389	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	3	Singular	Plural
747562	1922	1941	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Definite	0	Singular	Singular
7433	16821	16872	The Sylphs of the Seasons with other poems		FIC	1813	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Definite	-1	Plural	Singular
747651	177090	177108	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Definite	1	Singular	Singular
7562	46841	46877	The poetical works		FIC	1820	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Definite	1	Plural	Plural
553165	4788	4812	"Women, or Pour et Contre"		MAG	1818	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Indefinite	Indefinite	0	Singular	Singular
8563	3418	3444	The Tooth-Ache		FIC	1814	Noun	Noun	To	AccDat	0	Animate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
8717	12795	12850	The Yankey in England		FIC	1815	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
747562	40694	40785	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-2	Plural	Singular
8987	15590	15605	Modern Honor		FIC	1812	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	-3	Plural	Singular
747651	69278	69331	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Noun	Noun	To	AccDat	0	Inanimate	Inanimate	Definite	Indefinite	-2	Plural	Singular
8641	8206	8229	The Italian Father		FIC	1810	Noun	Noun	NoTo	DatAcc	0	Animate	Inanimate	Definite	Indefinite	4	Singular	Singular
8694	13719	13730	Gordian Knot		FIC	1810	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Indefinite	-1	Plural	Singular
7433	11519	11640	The Sylphs of the Seasons with other poems		FIC	1813	Noun	Noun	NoTo	DatAcc	0	Inanimate	Inanimate	Definite	Definite	0	Singular	Singular
