id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order	IOAnim	DOAnim	IODef	DODef	LengthDiff	IONum	DONum
7259	35239	35258	"Charlotte's Daughter; or, The Three Orphans. A Sequel to Charlotte Temple"		FIC	1828	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-3	Plural	Singular
748004	23351	23388	Christian Essays: To which is Added an Essay on the Influence of a Moral Life on Our Judgment in Matters of Faith	Samuel Charles Wilks	NF	1829	Active	Noun	Noun	To	AccDat	Animate	Animate	Definite	Definite	2	Singular	Singular
7164	13378	13413	Greyslaer: A Romance of the Mohawk . . .  Volume 2		FIC	1840	Active	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-4	Plural	Singular
747531	65647	65671	Depping''s Evening Entertainments: Comprising Delineations of the Manners and Customs of Various Nations	Georges-Bernard Depping	NF	1833	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-1	Singular	Singular
554415	8576	8631	Livingston's System of Penal Law		MAG	1836	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-1	Plural	Singular
554216	7760	7827	History of Philadelphia		MAG	1833	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
8717	2132	2190	The Yankey in England		FIC	1815	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	-7	Singular	Singular
7073	72255	72282	Traits of American Life . . 		FIC	1835	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-1	Plural	Singular
747585	63314	63340	"Incidents of Travel in Egypt, Arabia, Petraea & the Holy Land"	John Lloyd Stephens	NF	1838	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
8837	2268	2278	Th&egrave;r&eacute;se		FIC	1821	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	0	Singular	Plural
554165	4559	4611	American Colonization Society		MAG	1832	Active	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
7041	76038	76061	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	0	Singular	Singular
7283	24792	24839	"The Travellers: A Tale, Designed for Young People"		FIC	1825	Active	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	1	Plural	Singular
554095	3500	3518	Memoirs of Madame de Genlis		MAG	1831	Active	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	2	Singular	Singular
747562	39308	39383	"The Life, Studies, and Works of Benjamin West, Esq.: Composed from Materials Furnished by Himself"	John Galt	NF	1816	Active	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	6	Singular	Singular
7211	71093	71125	"O'Halloran; or, The Insurgent Chief. An Irish Historical Tale of 1798, Volume 1 . . "		FIC	1824	Active	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Plural	Singular
7245	45250	45302	Rachel Dyer: A North American Story . . 		FIC	1828	Active	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-5	Plural	Plural
