Verb	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order	IOAnim	DOAnim	IODef	DODef	LengthDiff	IONum	DONum
offer	747536	53096	53139	"A concise exposition of the doctrine of association, or Plan for a re-organization of society : which will secure to the human race, individually and "	Albert Brisbane	NF	1843	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Definite	5	Plural	Singular
offer	747473	12496	12546	"A discourse on the genius and character of the Rev. Horace Holley, LL. D., "	Charles Caldwell	NF	1828	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	2	Singular	Singular
offer	554364	3060	3183	British Poetry at the Close of the Last Century		MAG	1836	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	2	Singular	Singular
offer	501175	879	914	By Rail to the Rocky Mountains	I. Edwards Clarke	MAG	1868	Passive	Noun	Noun	To	AccDat	Inanimate	Animate	Definite	Definite	0	Plural	Singular
offer	565585	15971	16040	Christian Union		MAG	1846	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
offer	568518	7439	7512	Ward's Life of Percival	Professor Dwight	MAG	1867	Passive	Noun	Noun	To	AccDat	Inanimate	Animate	Indefinite	Definite	3	Singular	Singular
offer	754438	6550	6615	"Personal Narrative of Travels to the Equinoctial Regions of America, During the Year 1799-1804 -- Vo"	"Humboldt, Alexander von, 1769-1859"	NF	1848	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
offer	748017	3514	3580	Essay on the union of church and state 	Baptist Wriothesley Noel	NF	1849	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	0	Singular	Plural
offer	7039	15642	15660	Letters from New-York		FIC	1843	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-2	Singular	Singular
offer	554122	3089	3129	Harvard University		MAG	1831	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-7	Singular	Plural
offer	554153	5914	5985	Indian Biography		MAG	1832	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	2	Plural	Plural
offer	7145	16088	16129	"Cromwell: An Historical Novel, Volume 2"		FIC	1838	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	1	Plural	Singular
offer	7084	10511	10525	"Bonfield; or, The Outlaw of the Bermudas. A Nautical Novel . . "		FIC	1846	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-3	Singular	Plural
offer	554216	5334	5415	History of Philadelphia		MAG	1833	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	10	Singular	Plural
offer	747803	4122	4183	View of the Hebrews : exhibiting the destruction of Jerusalem; the certain restoration of Judah and Israel; the present state of Judah and Israel; and	Ethan Smith	NF	1823	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Plural	Singular
offer	7063	403	446	Norman Leslie: A Tale of the Present Times Volume 1		FIC	1835	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	0	Singular	Singular
offer	569041	3677	3700	Yale College - Some Thoughts Respecting its Future. Second Article	Professor Timothy Dwight	MAG	1870	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-5	Plural	Plural
offer	557160	7033	7067	Michigan		MAG	1861	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	3	Singular	Plural
offer	554422	1464	1513	Principle of Emulation		MAG	1836	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	2	Singular	Singular
offer	554274	2446	2477	Life and Writings of Crabbe		MAG	1834	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	2	Plural	Singular
offer	557421	199	242	Madame Swetchine		MAG	1862	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	0	Plural	Singular
offer	8767	964	993	Pontiac		FIC	1835	Passive	Noun	Noun	To	AccDat	Inanimate	Animate	Indefinite	Indefinite	-1	Plural	Plural
offer	553757	2311	2400	Army of the United States		MAG	1826	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	2	Singular	Plural
offer	527592	2065	2156	Cyril Wilde		MAG	1861	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	2	Plural	Singular
offer	568363	6476	6502	The New Era	President Woolsey	MAG	1866	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	7	Plural	Singular
offer	5402	17819	17853	The Ranger or The Fugitives of the Border		FIC	1863	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	3	Singular	Singular
offer	7284	8969	9019	Myrtis: With Other Etchings and Sketchings		FIC	1846	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-3	Singular	Singular
offer	739244	1093	1124	American Steel Cannon		NEWS	1861	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-1	Plural	Singular
