id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
8641	2216	2233	The Italian Father		FIC	1810	Active	Pronoun	Noun	NoTo	DatAcc
8641	21456	21469	The Italian Father		FIC	1810	Active	NA	NA	NA	NA
8694	1606	1637	Gordian Knot		FIC	1810	Active	Noun	Pronoun	To	AccDat
8990	2425	2453	The Poor Lodger		FIC	1811	Active	Pronoun	Noun	NoTo	DatAcc
8990	14232	14248	The Poor Lodger		FIC	1811	Active	Pronoun	Noun	NoTo	DatAcc
8990	26813	26831	The Poor Lodger		FIC	1811	Active	NA	NA	NA	NA
8872	3087	3104	The Miser		FIC	1812	Active	Pronoun	Noun	NoTo	DatAcc
8872	4621	4642	The Miser		FIC	1812	Active	Pronoun	Noun	NoTo	DatAcc
8642	4571	4583	Lovers Vows		FIC	1814	Active	Pronoun	Noun	NoTo	DatAcc
8642	18866	18882	Lovers Vows		FIC	1814	Active	Pronoun	Noun	NoTo	DatAcc
8642	24439	24477	Lovers Vows		FIC	1814	Active	Pronoun	Noun	NoTo	DatAcc
8642	24882	24909	Lovers Vows		FIC	1814	Active	Noun	Pronoun	To	AccDat
552651	6229	6326	"Journal of a Cruise to the Pacifick Ocean, by Captain David Porter"		MAG	1815	Active	NA	NA	NA	NA
747659	44821	44877	War inconsistent with the religion of Jesus Christ	David Low Dodge	NF	1815	Active	Pronoun	Noun	NoTo	DatAcc
747659	47675	47726	War inconsistent with the religion of Jesus Christ	David Low Dodge	NF	1815	Active	Pronoun	Pronoun	To	AccDat
8716	6081	6092	The Widow of Malabar		FIC	1815	Active	NA	NA	NA	NA
8717	11305	11330	The Yankey in England		FIC	1815	Active	Pronoun	Noun	NoTo	DatAcc
8717	20902	20929	The Yankey in England		FIC	1815	Active	Pronoun	Noun	NoTo	DatAcc
8719	14546	14551	Fashionable Follies		FIC	1815	Active	Pronoun	Noun	NoTo	DatAcc
8719	26361	26369	Fashionable Follies		FIC	1815	Active	Pronoun	Noun	NoTo	DatAcc
552807	1318	1395	Fine Arts		MAG	1816	Active	NA	NA	NA	NA
552807	2611	2666	Fine Arts		MAG	1816	Active	NA	NA	NA	NA
552808	2972	2980	Models in Literature		MAG	1816	Active	NA	NA	NA	NA
747573	15676	15694	"Female Scripture Biographies, Volume I"	Francis Augustus Cox	NF	1817	Active	Pronoun	Noun	NoTo	DatAcc
747573	58663	58680	"Female Scripture Biographies, Volume I"	Francis Augustus Cox	NF	1817	Active	Noun	Pronoun	To	AccDat
747573	72808	72824	"Female Scripture Biographies, Volume I"	Francis Augustus Cox	NF	1817	Active	NA	NA	NA	NA
747573	73602	73618	"Female Scripture Biographies, Volume I"	Francis Augustus Cox	NF	1817	Active	NA	NA	NA	NA
747651	88493	88514	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Active	NA	NA	NA	NA
747651	175626	175662	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Active	Noun	Pronoun	To	AccDat
747651	229450	229523	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Active	Noun	Pronoun	To	AccDat
8550	5287	5301	How to Try a Lover		FIC	1817	Active	Pronoun	Noun	NoTo	DatAcc
8809	3327	3368	Accusation		FIC	1817	Active	Pronoun	Noun	NoTo	DatAcc
8809	10023	10038	Accusation		FIC	1817	Active	NA	NA	NA	NA
553097	1042	1079	Jesuits		MAG	1818	Active	Pronoun	Noun	NoTo	DatAcc
8860	3333	3360	The Orphans		FIC	1818	Active	Noun	Noun	NoTo	DatAcc
8860	10782	10794	The Orphans		FIC	1818	Active	NA	NA	NA	NA
8009	3	37	The battle of Niagara		FIC	1819	Active	Pronoun	Noun	NoTo	DatAcc
8009	25171	25261	The battle of Niagara		FIC	1819	Active	Pronoun	Noun	NoTo	DatAcc
8706	11292	11348	Percy's Masque		FIC	1819	Active	NA	NA	NA	NA
8977	2558	2580	Wall-Street		FIC	1819	Active	NA	NA	NA	NA
553220	855	886	Curran's Oratory		MAG	1820	Active	NA	NA	NA	NA
553302	4693	4790	Edgeworth's Memoirs		MAG	1820	Active	Pronoun	Noun	NoTo	DatAcc
753470	39796	39830	Journals of Two Expeditions into the Interior of New South Wales	"Oxley, John, 1781-1828"	NF	1820	Active	Pronoun	Noun	NoTo	DatAcc
753470	41870	41897	Journals of Two Expeditions into the Interior of New South Wales	"Oxley, John, 1781-1828"	NF	1820	Active	NA	NA	NA	NA
8901	533	563	Lady Jane Gray and Lord Guilford Dudley		FIC	1820	Active	NA	NA	NA	NA
553342	4231	4247	England and America		MAG	1821	Active	Pronoun	Pronoun	To	AccDat
553349	7435	7455	Botta's American Revolution		MAG	1821	Active	NA	NA	NA	NA
553350	951	973	Life of Bernardin de St. Pierre		MAG	1821	Active	Pronoun	Noun	NoTo	DatAcc
553358	5670	5695	Cottu on English Law		MAG	1821	Active	NA	NA	NA	NA
553367	3317	3383	"An Oration pronounced before the Society of Phi Beta Kappa, at Cambridge, August 30, 1821"		MAG	1821	Active	Pronoun	Noun	NoTo	DatAcc
749178	5895	5964	A Sketch of the life of Brig. Gen. Francis Marion and a history of his brigade	"James, William Dobein, 1764-1838"	NF	1821	Active	NA	NA	NA	NA
749178	12630	12651	A Sketch of the life of Brig. Gen. Francis Marion and a history of his brigade	"James, William Dobein, 1764-1838"	NF	1821	Active	Pronoun	Noun	NoTo	DatAcc
749178	12661	12682	A Sketch of the life of Brig. Gen. Francis Marion and a history of his brigade	"James, William Dobein, 1764-1838"	NF	1821	Active	Pronoun	Noun	NoTo	DatAcc
749178	23400	23419	A Sketch of the life of Brig. Gen. Francis Marion and a history of his brigade	"James, William Dobein, 1764-1838"	NF	1821	Active	Noun	Pronoun	To	AccDat
749178	26008	26032	A Sketch of the life of Brig. Gen. Francis Marion and a history of his brigade	"James, William Dobein, 1764-1838"	NF	1821	Active	Pronoun	Noun	NoTo	DatAcc
749178	62185	62227	A Sketch of the life of Brig. Gen. Francis Marion and a history of his brigade	"James, William Dobein, 1764-1838"	NF	1821	Active	Pronoun	Noun	NoTo	DatAcc
8837	4130	4209	Th&egrave;r&eacute;se		FIC	1821	Active	Pronoun	Noun	NoTo	DatAcc
8985	4177	4209	The Pedlar		FIC	1821	Active	Pronoun	Noun	NoTo	DatAcc
8985	4651	4685	The Pedlar		FIC	1821	Active	Pronoun	Noun	NoTo	DatAcc
553388	1473	1502	"A Foreigner's opinion of England, &amp;c"		MAG	1822	Active	Pronoun	Noun	NoTo	DatAcc
553390	1307	1368	Mirabeau's Speeches		MAG	1822	Active	NA	NA	NA	NA
553393	2410	2471	Sismondi's Julia Severa		MAG	1822	Active	NA	NA	NA	NA
553400	2209	2264	Godwin on Malthus		MAG	1822	Active	Pronoun	Noun	NoTo	DatAcc
553405	7340	7358	Examination of the Russian Claims		MAG	1822	Active	NA	NA	NA	NA
553419	4583	4611	Life of Algernon Sydney		MAG	1822	Active	Pronoun	Noun	NoTo	DatAcc
553419	7724	7763	Life of Algernon Sydney		MAG	1822	Active	NA	NA	NA	NA
553423	20128	20196	The Life of Pitt		MAG	1822	Active	NA	NA	NA	NA
7243	138909	138938	"Logan: A Family History, Volume 1"		FIC	1822	Active	Pronoun	Noun	NoTo	DatAcc
7244	96128	96138	"Logan: A Family History, Volume 2"		FIC	1822	Active	Pronoun	Noun	NoTo	DatAcc
7244	96139	96151	"Logan: A Family History, Volume 2"		FIC	1822	Active	Pronoun	Noun	NoTo	DatAcc
7274	1528	1545	Mary Hollis: An Original Tale . . 		FIC	1822	Active	NA	NA	NA	NA
7275	11455	11523	A New-England Tale		FIC	1822	Active	Noun	Pronoun	To	AccDat
8543	2873	2902	The Sultana		FIC	1822	Active	NA	NA	NA	NA
8736	22187	22221	Odofriede; the Outcast		FIC	1822	Active	NA	NA	NA	NA
7214	64757	64772	"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 2 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7246	1608	1649	"Randolph: A Novel, Volume 1 . . "		FIC	1823	Active	NA	NA	NA	NA
7241	99171	99195	"Errata; or, The Works of Will. Adams, Volume 1 . . "		FIC	1823	Active	NA	NA	NA	NA
7214	76482	76536	"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 2 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7241	50349	50367	"Errata; or, The Works of Will. Adams, Volume 1 . . "		FIC	1823	Active	Noun	Noun	To	AccDat
7213	94478	94520	"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 1 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7242	33822	33888	"Errata; or, The Works of Will. Adams, Volume 2 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7241	33485	33498	"Errata; or, The Works of Will. Adams, Volume 1 . . "		FIC	1823	Active	Pronoun	Pronoun	To	AccDat
7249	47635	47657	"Seventy-six, volume 2"		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7248	13971	14020	"Seventy-six, volume 1"		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7247	134335	134355	"Randolph: A Novel, Volume 2 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7214	92860	92872	"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 2 . . "		FIC	1823	Active	NA	NA	NA	NA
7246	111111	111128	"Randolph: A Novel, Volume 1 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7242	93262	93287	"Errata; or, The Works of Will. Adams, Volume 2 . . "		FIC	1823	Active	NA	NA	NA	NA
8813	4050	4055	Ali Pacha		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7214	62155	62165	"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 2 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7213	52258	52272	"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 1 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7214	88172	88227	"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 2 . . "		FIC	1823	Active	NA	NA	NA	NA
7249	90078	90150	"Seventy-six, volume 2"		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7249	50772	50785	"Seventy-six, volume 2"		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
7214	82988	83001	"The Wilderness; or, Braddock's Times. A Tale of the West, Volume 2 . . "		FIC	1823	Active	NA	NA	NA	NA
7242	50218	50238	"Errata; or, The Works of Will. Adams, Volume 2 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
553480	12259	12358	European Politics		MAG	1823	Active	Pronoun	Noun	NoTo	DatAcc
7246	81088	81114	"Randolph: A Novel, Volume 1 . . "		FIC	1823	Active	NA	NA	NA	NA
7242	11381	11392	"Errata; or, The Works of Will. Adams, Volume 2 . . "		FIC	1823	Active	Pronoun	Noun	NoTo	DatAcc
553507	6200	6219	Colonization Society		MAG	1824	Active	Pronoun	Noun	NoTo	DatAcc
553513	5046	5064	Griscom's Tour in Europe		MAG	1824	Active	NA	NA	NA	NA
553552	3371	3402	Nova Scotia		MAG	1824	Active	NA	NA	NA	NA
7037	59494	59508	Hobomok		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
7212	29029	29093	"O'Halloran; or, The Insurgent Chief. An Irish Historical Tale of 1798, Volume 2 . . "		FIC	1824	Active	NA	NA	NA	NA
7212	60790	60806	"O'Halloran; or, The Insurgent Chief. An Irish Historical Tale of 1798, Volume 2 . . "		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
7277	5425	5453	"Redwood: A Tale, Volume 1"		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
7277	26602	26687	"Redwood: A Tale, Volume 1"		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
7278	21117	21164	"Redwood: A Tale, Volume 2"		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
7278	44733	44811	"Redwood: A Tale, Volume 2"		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
7278	45109	45147	"Redwood: A Tale, Volume 2"		FIC	1824	Active	NA	NA	NA	NA
7278	50973	51019	"Redwood: A Tale, Volume 2"		FIC	1824	Active	Noun	Pronoun	To	AccDat
7278	51602	51645	"Redwood: A Tale, Volume 2"		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
7279	49132	49197	"Redwood: A Tale, Volume 3"		FIC	1824	Active	NA	NA	NA	NA
7285	17508	17548	"Sketch of Connecticut, Forty Years Since"		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
7285	59505	59530	"Sketch of Connecticut, Forty Years Since"		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
7285	75015	75066	"Sketch of Connecticut, Forty Years Since"		FIC	1824	Active	NA	NA	NA	NA
8753	2813	2832	La Fayette		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
8753	10008	10038	La Fayette		FIC	1824	Active	NA	NA	NA	NA
8759	3050	3101	Tancred		FIC	1824	Active	Pronoun	Noun	NoTo	DatAcc
553649	10078	10103	Character and Writings of Dr. Brown		MAG	1825	Active	Noun	Pronoun	To	AccDat
747603	20141	20166	Remarks on Changes Lately Proposed Or Adopted in Harvard University 	George Ticknor	NF	1825	Active	NA	NA	NA	NA
7041	31290	31330	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	Pronoun	Noun	NoTo	DatAcc
7041	40672	40700	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	Pronoun	Noun	NoTo	DatAcc
7041	49946	49977	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	Pronoun	Noun	NoTo	DatAcc
7041	58288	58298	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	NA	NA	NA	NA
7041	62107	62123	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	NA	NA	NA	NA
7041	62546	62582	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	NA	NA	NA	NA
7041	72810	72849	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	Pronoun	Noun	NoTo	DatAcc
7041	72850	72861	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	NA	NA	NA	NA
7041	80141	80154	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	Noun	Pronoun	To	AccDat
7041	83690	83715	"The Rebels; or, Boston before the Revolution"		FIC	1825	Active	Pronoun	Noun	NoTo	DatAcc
7283	6631	6651	"The Travellers: A Tale, Designed for Young People"		FIC	1825	Active	Noun	Pronoun	To	AccDat
7283	9012	9033	"The Travellers: A Tale, Designed for Young People"		FIC	1825	Active	Pronoun	Noun	NoTo	DatAcc
7283	11132	11169	"The Travellers: A Tale, Designed for Young People"		FIC	1825	Active	Pronoun	Pronoun	To	AccDat
