id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
747651	94669	94707	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Passive	NA	NA	NA	NA
553480	4653	4697	European Politics		MAG	1823	Passive	Pronoun	Pronoun	To	AccDat
747448	35554	35565	"Journal of the conversations of Lord Byron : noted during a residence with his lordship at Pisa, in the years 1821 and 1822 "	Thomas Medwin	NF	1824	Passive	Noun	Pronoun	To	AccDat
747448	36667	36691	"Journal of the conversations of Lord Byron : noted during a residence with his lordship at Pisa, in the years 1821 and 1822 "	Thomas Medwin	NF	1824	Passive	Noun	Pronoun	To	AccDat
7041	73141	73152	"The Rebels; or, Boston before the Revolution"		FIC	1825	Passive	NA	NA	NA	NA
554080	9853	9883	Exhibition of Pictures at the Athenaeum Gallery		MAG	1830	Passive	NA	NA	NA	NA
7266	13435	13450	"Clarence; or, A Tale of Our Own Times, Volume 1"		FIC	1830	Passive	Pronoun	Pronoun	To	AccDat
747577	8135	8171	"An oration delivered in Tammany Hall, in commemoration of the birthday of Thomas Paine and an account of the celebration of the 95th anniversary of th"	John Morrison	NF	1832	Passive	Pronoun	Noun	NoTo	DatAcc
7029	44175	44186	"The Cavaliers of Virginia; or, The Recluse of Jamestown. An Historical Romance of the Old Dominion Volume 1 (1834-35"		FIC	1834	Passive	NA	NA	NA	NA
7252	42165	42197	"Prose Sketches and Poems, Written in the Western Country . . "		FIC	1834	Passive	Pronoun	Noun	NoTo	DatAcc
1103	26869	26882	The Monikins		FIC	1835	Passive	Pronoun	Noun	NoTo	DatAcc
7016	78484	78514	"The Infidel; or, the Fall of Mexico, Volume 1"		FIC	1835	Passive	Pronoun	Pronoun	NoTo	AccDat
7268	2943	2965	Home		FIC	1835	Passive	Pronoun	Noun	NoTo	DatAcc
554371	6631	6665	Chief Justice Marshall		MAG	1836	Passive	NA	NA	NA	NA
747960	74317	74347	On the extent of the Atonement in its relation to God and the universe	Thomas W. Jenkyn	NF	1837	Passive	NA	NA	NA	NA
747960	74417	74441	On the extent of the Atonement in its relation to God and the universe	Thomas W. Jenkyn	NF	1837	Passive	NA	NA	NA	NA
755525	25927	25961	Memoirs of General Lafayette : with an Account of His Visit to America and His Reception By the Peop	"Knapp, Samuel L. (Samuel Lorenzo), 1783-1838"	NF	1837	Passive	Pronoun	Noun	NoTo	DatAcc
755525	45743	45766	Memoirs of General Lafayette : with an Account of His Visit to America and His Reception By the Peop	"Knapp, Samuel L. (Samuel Lorenzo), 1783-1838"	NF	1837	Passive	NA	NA	NA	NA
554586	7887	7911	Grund's Americans		MAG	1838	Passive	NA	NA	NA	NA
747507	43816	43876	The theory of money and banks investigated	George Tucker	NF	1839	Passive	Pronoun	Noun	NoTo	DatAcc
747920	38316	38329	"Report of the Presbyterian church case : the commonwealth of Pennsylvania, at the suggestion of James Todd and others, vs. Ashbel Green and others"	Samuel Miller	NF	1839	Passive	NA	NA	NA	NA
7024	12498	12517	"The Adventures of Harry Franco, volume 2"		FIC	1839	Passive	Pronoun	Pronoun	To	AccDat
7296	127672	127735	"The Damsel of Darien, Volume 1"		FIC	1839	Passive	Pronoun	Pronoun	NoTo	AccDat
7336	28412	28454	"The Green Mountain Boys: A Historical Tale of the Early Settlement of Vermont, Volume 2"		FIC	1839	Passive	NA	NA	NA	NA
586558	8173	8181	"Political Portraits with Pen and Pencil. No XIX. Benjamin Tappan, Senator from Ohio"		MAG	1840	Passive	NA	NA	NA	NA
747644	68462	68475	"The life of Thomas Paine, author of ""Common sense"", ""Rights of man"", ""Age of reason"", &c., &c. : With critical and explanatory observations on his wri"	G. Vale	NF	1841	Passive	Pronoun	Noun	NoTo	DatAcc
772625	55380	55413	"The Martyrs of Science, or, The lives of Galileo, Tycho Brahe, and Kepler"	"Brewster, David, Sir, 1781-1868"	NF	1841	Passive	NA	NA	NA	NA
799	75099	75104	Essays — First Series		FIC	1841	Passive	NA	NA	NA	NA
747853	4018	4025	"An Inquiry Into the Foundation, Evidences, and Truths of Religion"	Henry Ware	NF	1842	Passive	NA	NA	NA	NA
747853	16602	16636	"An Inquiry Into the Foundation, Evidences, and Truths of Religion"	Henry Ware	NF	1842	Passive	NA	NA	NA	NA
7074	60380	60401	"The New Purchase; or, Seven and a Half years in the Far West. By Robert Carlton, Esq. [pseud.], Volume 1"		FIC	1843	Passive	Pronoun	Noun	NoTo	DatAcc
7208	381	390	The Various Writings		FIC	1843	Passive	Pronoun	Noun	NoTo	DatAcc
7365	1360	1391	The Celestial Rail-road		FIC	1843	Passive	Pronoun	Noun	NoTo	DatAcc
587318	14535	14576	The Texas Question. A letter from Alexander H. Everett		MAG	1844	Passive	Pronoun	Pronoun	NoTo	AccDat
