old_id	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
40263	5528	11869	11957	The World Beyond	"Cummings, Ray, 1887-1957"	FIC	1942	Passive	Pronoun	Pronoun	NoTo	AccDat
45966	773605	14532	14540	A Reviewer's ABC	Conrad Aiken	NF	1958	Passive	Pronoun	Pronoun	NoTo	AccDat
41275	10200	15969	15993	Wide House		FIC	1945	Passive	Pronoun	Pronoun	NoTo	AccDat
42584	16595	28168	28186	She Wore a Yellow Ribbon	"Bellah, James Warner, 1899-1976"	FIC	1949	Passive	Pronoun	Pronoun	NoTo	AccDat
48369	10458	60335	60342	Journal From Ellipsia		FIC	1965	Passive	Pronoun	Pronoun	NoTo	AccDat
54523	10704	67361	67408	Valedictory		FIC	1983	Passive	Pronoun	Noun	NoTo	AccDat
46377	781977	668	705	Walk with Peril	Dorothy V.S. Jackson	FIC	1959	Passive	Pronoun	Pronoun	NoTo	AccDat
53049	10654	40549	40590	Life I Really Lived		FIC	1979	Passive	Pronoun	Pronoun	NoTo	AccDat
49101	781994	16644	16666	Jeshua's Diary	Wesley Shrader	FIC	1967	Passive	Pronoun	Pronoun	NoTo	AccDat
58154	42232	3070	3101	'Tis the Season	K D Wentworth	FIC	1997	Passive	Pronoun	Pronoun	NoTo	AccDat
58153	42230	3657	3685	The Idiot's Dream	Wayne Wightman	FIC	1997	Passive	Pronoun	Noun	NoTo	AccDat
51849	780111	57006	57013	The Last Valley	A.B. Guthrie Jr.	FIC	1975	Passive	Pronoun	Pronoun	NoTo	AccDat
40248	10164	31764	31800	Windswept	Mary Ellen Chase	FIC	1942	Passive	Pronoun	Pronoun	NoTo	AccDat
47346	16286	13394	13401	Lolita		FIC	1962	Passive	Pronoun	Noun	NoTo	AccDat
46065	10365	156953	156969	Winthrop Woman		FIC	1958	Passive	Pronoun	Pronoun	NoTo	AccDat
48309	10461	55483	55494	"Do, Lord, Remember Me"		FIC	1965	Passive	Pronoun	Noun	NoTo	AccDat
57344	41227	4504	4521	BRAWITH	"Purdy, James"	FIC	1994	Passive	Pronoun	Pronoun	NoTo	AccDat
45600	492351	1515	1546	The Happy Fugitives From Flatbush	"Tyler, Poyntz"	MAG	1957	Passive	Pronoun	Pronoun	NoTo	AccDat
51891	780110	55295	55318	The Massacre at Fall Creek	Jossamyo West	FIC	1975	Passive	Pronoun	Pronoun	NoTo	AccDat
48452	10460	60774	60796	P. S. Wilkinson		FIC	1965	Passive	Pronoun	Pronoun	NoTo	AccDat
50615	494765	893	930	Bogus Reform: Campaign Funding	"Pincus, Walter"	MAG	1971	Passive	Noun	Noun	NoTo	AccDat
49113	780002	32625	32632	Lord of Light	Roger Zelazny	FIC	1967	Passive	Pronoun	Pronoun	NoTo	AccDat
44540	14537	10865	10891	Cyprian's Prayer	"Wilson, Edmund, 1895-1972"	FIC	1954	Passive	Pronoun	Pronoun	NoTo	AccDat
51570	494930	1051	1070	Stanley Kauffman on theater	"Kauffmann, Stanley"	MAG	1974	Passive	Pronoun	Noun	NoTo	AccDat
56158	5359	16810	16846	The Saracen: The Holy War	"Shea, Robert, 1933-1994"	FIC	1989	Passive	Pronoun	Noun	NoTo	AccDat
59211	38433	7842	7912	Deranged by Desire		FIC	2000	Passive	Pronoun	Pronoun	NoTo	AccDat
