"","Text","Lat","Long","Location","Dialect","Genre","YoC","YoM","AuthName","AuthBD","AuthSex","AuthAge","RecName","RecBD","RecSex","RecAge","RecRelation","Words","OCWords","NamWords","ForWords","Types","OCTypes","NamTypes","ForTypes","Chars","OCChars","NamChars","ForChars","Tokens","pseud","pass","act","relative","questions","selected","advantage"
"4287","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"7203","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"8454","CHAU-SQT","x","x","x","x","Q",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",3503,1123,55,0,999,656,39,0,13656,5934,368,0,199,"b","nan","act","nie","qnie","selact","not"
"8466","CHAU-SQT","x","x","x","x","Q",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",3503,1123,55,0,999,656,39,0,13656,5934,368,0,199,"b","nan","act","nie","qnie","selact","not"
"8467","CHAU-SQT","x","x","x","x","Q",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",3503,1123,55,0,999,656,39,0,13656,5934,368,0,199,"b","nan","act","nie","qnie","selact","not"
"8704","CHAU-SQT","x","x","x","x","Q",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",3503,1123,55,0,999,656,39,0,13656,5934,368,0,199,"b","nan","act","nie","qnie","selact","not"
"10043","IOSEIACO","51.202409","-2.460938","","S","Q",1260,1280,"x","xxxx","x","xx","x","xxxx","x","xx","x",5847,1776,222,0,2065,694,35,0,29045,8862,1229,0,482,"b","nan","act","nie","qnie","selact","not"
"12048","CMAELR3","52.34373","-2.05719","Worcester/Birmingham_halfway_point","WM","U",1400,1400,"x","xxxx","m","xx","x","xxxx","x","xx","x",17718,5045,446,673,3613,2107,78,411,75927,30107,2261,3649,996,"b","nan","act","nie","qnie","selact","not"
"13492","CMAELR3","52.34373","-2.05719","Worcester/Birmingham_halfway_point","WM","U",1400,1400,"x","xxxx","m","xx","x","xxxx","x","xx","x",17718,5045,446,673,3613,2107,78,411,75927,30107,2261,3649,996,"b","nan","act","nie","qnie","selact","not"
"16873","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"17229","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"17351","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"19258","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"21720","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"22253","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"24309","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"26753","CMAYENBI","51.279958","1.079407","Canterbury","K","G",1340,1340,"Dan_Michel","1270","m","70","x","xxxx","x","xx","x",48069,14217,1309,77,4924,3675,183,41,200070,84983,6330,386,2574,"b","nan","act","nie","qnie","selact","not"
"26760","CMAYENBI","51.279958","1.079407","Canterbury","K","G",1340,1340,"Dan_Michel","1270","m","70","x","xxxx","x","xx","x",48069,14217,1309,77,4924,3675,183,41,200070,84983,6330,386,2574,"b","nan","act","nie","qnie","selact","not"
"29947","CMAYENBI","51.279958","1.079407","Canterbury","K","G",1340,1340,"Dan_Michel","1270","m","70","x","xxxx","x","xx","x",48069,14217,1309,77,4924,3675,183,41,200070,84983,6330,386,2574,"b","nan","act","nie","qnie","selact","not"
